Subject,Marks,Score
Artificial Intelligence,27,5
Artificial Intelligence,35,8
Artificial Intelligence,31,8
Artificial Intelligence,32,8
Artificial Intelligence,34,7
Artificial Intelligence,38,8
Artificial Intelligence,33,8
Artificial Intelligence,31,5
Artificial Intelligence,35,7
Artificial Intelligence,28,6
Artificial Intelligence,31,4
Artificial Intelligence,35,9
Artificial Intelligence,24,4
Artificial Intelligence,34,9
Artificial Intelligence,32,7
Artificial Intelligence,35,8
Artificial Intelligence,31,7
Artificial Intelligence,35,9
Artificial Intelligence,33,8
Artificial Intelligence,36,7
Artificial Intelligence,38,8
Artificial Intelligence,37,8
Artificial Intelligence,21,6
Artificial Intelligence,31,7
Artificial Intelligence,37,9
Artificial Intelligence,28,6
Artificial Intelligence,34,7
Artificial Intelligence,31,6
Artificial Intelligence,28,6
Artificial Intelligence,32,8
Artificial Intelligence,36,9
Artificial Intelligence,32,6
Artificial Intelligence,37,8
Artificial Intelligence,38,9
Artificial Intelligence,37,8
Artificial Intelligence,36,9
Artificial Intelligence,18,7
Artificial Intelligence,32,9
Artificial Intelligence,31,7
Artificial Intelligence,18,4
Artificial Intelligence,30,6
Artificial Intelligence,34,9
Artificial Intelligence,37,8
Artificial Intelligence,36,9
Artificial Intelligence,34,9
Artificial Intelligence,35,9
Artificial Intelligence,21,6
Artificial Intelligence,30,8
Artificial Intelligence,37,9
Artificial Intelligence,30,5
Artificial Intelligence,29,6
Artificial Intelligence,33,7
Artificial Intelligence,34,6
Artificial Intelligence,34,8
Artificial Intelligence,33,5
Artificial Intelligence,37,10
Artificial Intelligence,22,6
Artificial Intelligence,32,7
Artificial Intelligence,34,7
Artificial Intelligence,26,5
Artificial Intelligence,32,8
Artificial Intelligence,32,8
ELECTIVE: Data Mining and Data Warehousing,20,5
ELECTIVE: Data Mining and Data Warehousing,31,8
ELECTIVE: Data Mining and Data Warehousing,29,8
ELECTIVE: Data Mining and Data Warehousing,31,8
ELECTIVE: Data Mining and Data Warehousing,28,7
ELECTIVE: Data Mining and Data Warehousing,32,8
ELECTIVE: Data Mining and Data Warehousing,29,8
ELECTIVE: Data Mining and Data Warehousing,19,5
ELECTIVE: Data Mining and Data Warehousing,21,7
ELECTIVE: Data Mining and Data Warehousing,16,6
ELECTIVE: Data Mining and Data Warehousing,17,4
ELECTIVE: Data Mining and Data Warehousing,33,7
ELECTIVE: Data Mining and Data Warehousing,18,9
ELECTIVE: Data Mining and Data Warehousing,33,4
ELECTIVE: Data Mining and Data Warehousing,26,9
ELECTIVE: Data Mining and Data Warehousing,32,7
ELECTIVE: Data Mining and Data Warehousing,16,8
ELECTIVE: Data Mining and Data Warehousing,33,7
ELECTIVE: Data Mining and Data Warehousing,25,9
ELECTIVE: Data Mining and Data Warehousing,26,8
ELECTIVE: Data Mining and Data Warehousing,31,7
ELECTIVE: Data Mining and Data Warehousing,30,8
ELECTIVE: Data Mining and Data Warehousing,22,8
